Year,Team,Rank,Name,Pos,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,url,player_id
2018,SK_SSG,4,노수광,18  RF,3.00,3.03,-0.03,135,588,579,515,93,161,21,8,8,222,53,25,4,48,13,0,86,3,9,3,0.313,0.383,0.431,0.814,0.003,103.8,/player/?m=playerinfo&p_no=11268,11268
2018,SK_SSG,5,이재원,18  C,1.56,3.68,-2.12,130,471,467,407,63,134,24,0,17,209,57,0,0,43,12,0,65,13,4,5,0.329,0.405,0.514,0.919,0.037,128.2,/player/?m=playerinfo&p_no=10082,10082
2018,SK_SSG,6,나주환,18  SS,1.26,1.14,0.12,119,420,407,362,54,95,24,0,12,155,56,5,6,38,5,0,66,2,13,2,0.262,0.339,0.428,0.767,-0.017,89.8,/player/?m=playerinfo&p_no=10092,10092
2018,SK_SSG,7,김동엽,18  LF,0.84,1.17,-0.32,124,446,445,421,58,106,15,0,27,202,76,11,2,17,4,0,108,13,1,3,0.252,0.285,0.480,0.765,-0.025,83.8,/player/?m=playerinfo&p_no=12548,12548
2018,SK_SSG,8,김성현,18  2B,0.29,0.56,-0.27,135,462,456,415,51,115,19,1,4,148,55,6,2,29,9,0,42,19,6,3,0.277,0.336,0.357,0.693,-0.039,74.6,/player/?m=playerinfo&p_no=10636,10636
2018,넥센_키움,1,박병호,18  1B,7.38,7.88,-0.50,113,488,481,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,0.345,0.457,0.718,1.175,0.132,194.3,/player/?m=playerinfo&p_no=10470,10470
2018,넥센_키움,2,김하성,18  SS,5.13,3.15,1.97,129,576,575,511,95,147,27,4,20,242,84,8,2,54,5,2,81,16,1,5,0.288,0.358,0.474,0.832,0.008,107.6,/player/?m=playerinfo&p_no=11224,11224
2018,넥센_키움,3,이정후,18  CF,4.54,4.50,0.05,109,520,517,459,81,163,34,2,6,219,57,11,4,42,8,3,58,5,3,8,0.355,0.412,0.477,0.889,0.045,133.8,/player/?m=playerinfo&p_no=12906,12906
2018,넥센_키움,4,김민성,18  3B,2.41,1.57,0.84,128,465,462,413,46,117,24,0,10,171,45,1,0,40,6,3,80,6,1,5,0.283,0.351,0.414,0.765,-0.016,90.6,/player/?m=playerinfo&p_no=10238,10238
2018,넥센_키움,5,김혜성,18  2B,1.72,0.80,0.92,136,473,470,430,79,116,15,6,5,158,45,31,6,33,5,1,119,6,3,2,0.270,0.328,0.367,0.695,-0.038,75.3,/player/?m=playerinfo&p_no=12905,12905
