Year,Team,Rank,Name,Pos,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,url,player_id
2019,한화,2,서폴드,19  P,4.98,31,31,0,0,0,0,12,11,0,0,192.1,75,84,82.45,810,191,28,4,8,54,8,1,135,8,0,8,3.51,3.93,3.86,3.94,3.53,1.27,/player/?m=playerinfo&p_no=13938,13938
2019,한화,3,장민재,19  P,1.21,26,22,4,3,1,0,6,8,0,0,119.1,72,76,73.05,526,150,25,1,14,27,6,0,103,5,0,3,5.43,5.73,5.51,5.50,3.91,1.48,/player/?m=playerinfo&p_no=10610,10610
2019,한화,4,김범수,19  P,0.47,45,16,29,2,0,0,5,9,1,1,103.0,65,70,67.95,485,115,19,3,15,61,10,1,85,4,0,9,5.68,6.12,5.94,6.04,5.62,1.71,/player/?m=playerinfo&p_no=11411,11411
2019,SK_SSG,1,김광현,19  P,7.30,31,30,1,1,0,0,17,6,0,0,190.1,53,64,62.45,786,198,17,0,13,38,2,1,180,11,0,8,2.51,3.03,2.95,2.91,2.91,1.24,/player/?m=playerinfo&p_no=10126,10126
2019,SK_SSG,2,산체스,19  P,6.64,28,28,0,0,0,0,17,5,0,0,165.0,48,51,49.10,671,151,18,2,2,42,2,0,148,4,2,11,2.62,2.78,2.68,2.77,2.54,1.17,/player/?m=playerinfo&p_no=13063,13063
2019,SK_SSG,3,문승원,19  P,4.16,26,23,3,0,0,0,11,7,0,2,144.0,62,63,63.00,586,130,13,5,23,33,3,1,99,5,0,0,3.88,3.94,3.94,3.66,4.77,1.13,/player/?m=playerinfo&p_no=10783,10783
2019,SK_SSG,4,박종훈,19  P,3.51,28,28,0,0,0,0,8,11,0,0,144.0,62,72,68.05,643,157,29,0,12,59,13,0,100,6,0,1,3.88,4.50,4.25,4.08,4.62,1.50,/player/?m=playerinfo&p_no=10131,10131
2019,넥센_키움,1,요키시,19  P,5.12,30,30,0,1,1,1,13,9,0,0,181.1,63,72,71.50,746,166,33,5,9,39,11,0,141,6,0,6,3.13,3.57,3.55,3.66,3.31,1.13,/player/?m=playerinfo&p_no=13940,13940
2019,넥센_키움,2,브리검,19  P,4.72,28,28,0,0,0,0,13,5,0,0,158.1,52,62,60.80,669,148,32,2,5,46,12,0,130,8,1,7,2.96,3.52,3.46,3.55,3.27,1.23,/player/?m=playerinfo&p_no=12992,12992
2019,넥센_키움,3,최원태,19  P,4.23,27,27,0,0,0,0,11,5,0,0,157.1,59,68,65.80,666,165,28,2,5,36,5,0,105,13,0,5,3.38,3.89,3.76,3.82,3.33,1.28,/player/?m=playerinfo&p_no=11379,11379
2019,넥센_키움,4,이승호,19  P,1.88,23,23,0,1,1,1,8,5,0,0,122.2,61,70,67.10,533,134,27,3,10,51,1,0,82,5,3,5,4.48,5.14,4.92,5.01,4.42,1.51,/player/?m=playerinfo&p_no=12865,12865
2019,NC,1,루친스키,19  P,5.55,30,30,0,2,2,0,9,9,0,0,177.1,60,68,65.25,731,164,20,1,13,45,11,0,119,9,0,7,3.05,3.45,3.31,3.23,3.98,1.18,/player/?m=playerinfo&p_no=13932,13932
2019,NC,2,박진우,19  P,4.17,41,18,23,0,0,0,9,7,0,5,140.2,49,53,52.65,590,137,18,0,9,29,19,0,92,5,0,2,3.14,3.39,3.37,3.29,3.99,1.18,/player/?m=playerinfo&p_no=11358,11358
2019,NC,3,구창모,19  P,3.30,23,19,4,2,0,0,10,7,0,1,107.0,38,40,38.65,449,85,15,2,10,41,6,0,114,4,0,7,3.20,3.36,3.25,3.23,3.62,1.18,/player/?m=playerinfo&p_no=11353,11353
2019,NC,4,이재학,19  P,2.75,24,23,1,0,0,0,10,4,0,0,129.2,54,62,59.95,560,133,24,2,6,43,9,0,91,7,0,6,3.75,4.30,4.16,3.97,3.85,1.36,/player/?m=playerinfo&p_no=10220,10220
